,AverageReturnEvalPolicy,OriginalEnvironmentSteps,NumberOfEpisodes
0,13.408390998840332,0,0
1,14.090248107910156,10000,10
2,15.259111404418945,20000,20
3,55.881324768066406,30000,30
4,140.30455017089844,40000,40
5,77.84266662597656,50000,50
6,282.30340576171875,60000,60
7,312.0043029785156,70000,70
8,357.42449951171875,80000,80
9,406.99359130859375,90000,90
10,405.2511901855469,100000,100
11,469.53717041015625,110000,110
12,490.81817626953125,120000,120
13,510.0406188964844,130000,130
14,510.83721923828125,140000,140
15,552.818359375,150000,150
16,554.1683349609375,160000,160
17,528.2476806640625,170000,170
18,585.1350708007812,180000,180
19,600.7635498046875,190000,190
20,618.2682495117188,200000,200
21,623.3245849609375,210000,210
22,635.7717895507812,220000,220
23,638.4847412109375,230000,230
24,635.7593994140625,240000,240
25,634.1505126953125,250000,250
26,634.597900390625,260000,260
27,649.166748046875,270000,270
28,650.5670166015625,280000,280
29,662.7875366210938,290000,290
30,682.2330322265625,300000,300
31,678.4180908203125,310000,310
32,677.6892700195312,320000,320
33,683.0665893554688,330000,330
34,700.3671264648438,340000,340
35,682.1346435546875,350000,350
36,703.837890625,360000,360
37,713.0769653320312,370000,370
38,701.9661865234375,380000,380
39,707.8958129882812,390000,390
40,697.0885009765625,400000,400
41,715.1442260742188,410000,410
42,715.1520385742188,420000,420
43,716.8709716796875,430000,430
44,715.8795166015625,440000,440
45,722.868408203125,450000,450
46,708.2403564453125,460000,460
47,718.2496337890625,470000,470
48,728.6768798828125,480000,480
49,730.7838745117188,490000,490
50,738.9719848632812,500000,500
51,757.427490234375,510000,510
52,763.314208984375,520000,520
53,743.302734375,530000,530
54,778.1011962890625,540000,540
55,771.1533813476562,550000,550
56,779.6395874023438,560000,560
57,778.4064331054688,570000,570
58,790.2360229492188,580000,580
59,784.6844482421875,590000,590
60,766.96728515625,600000,600
61,747.6522216796875,610000,610
62,764.25390625,620000,620
63,763.7379150390625,630000,630
64,755.0150756835938,640000,640
65,786.6731567382812,650000,650
66,808.5140380859375,660000,660
67,777.3959350585938,670000,670
68,783.3585815429688,680000,680
69,813.7985229492188,690000,690
70,811.2429809570312,700000,700
71,810.5364990234375,710000,710
72,804.9908447265625,720000,720
73,798.8793334960938,730000,730
74,811.9312744140625,740000,740
75,775.5067749023438,750000,750
76,826.3211669921875,760000,760
77,796.3101806640625,770000,770
78,808.3812866210938,780000,780
79,805.13720703125,790000,790
80,826.9938354492188,800000,800
81,832.3687744140625,810000,810
82,800.6839599609375,820000,820
