,AverageReturnEvalPolicy,OriginalEnvironmentSteps,NumberOfEpisodes
0,46.561119079589844,0,0
1,51.500244140625,10000,10
2,61.55522918701172,20000,20
3,110.1706771850586,30000,30
4,190.74961853027344,40000,40
5,205.80654907226562,50000,50
6,295.6626281738281,60000,60
7,356.16973876953125,70000,70
8,455.8822326660156,80000,80
9,528.693359375,90000,90
10,609.3768920898438,100000,100
11,607.6755981445312,110000,110
12,701.8311767578125,120000,120
13,718.5924682617188,130000,130
14,744.7684326171875,140000,140
15,784.0265502929688,150000,150
16,788.40380859375,160000,160
17,805.7049560546875,170000,170
18,771.6055297851562,180000,180
19,794.3612670898438,190000,190
20,775.0851440429688,200000,200
21,805.4940795898438,210000,210
22,814.36181640625,220000,220
23,807.421630859375,230000,230
24,832.0374755859375,240000,240
25,781.1036376953125,250000,250
26,860.8552856445312,260000,260
27,871.6533203125,270000,270
28,868.0775146484375,280000,280
29,870.4415283203125,290000,290
30,838.5607299804688,300000,300
31,884.9810791015625,310000,310
32,877.3533325195312,320000,320
33,871.4371948242188,330000,330
34,869.8069458007812,340000,340
35,871.6209106445312,350000,350
36,890.4515380859375,360000,360
37,890.9207763671875,370000,370
38,890.3792724609375,380000,380
39,892.5494384765625,390000,390
40,911.4447021484375,400000,400
41,900.6091918945312,410000,410
42,905.1209106445312,420000,420
43,901.2858276367188,430000,430
44,837.9456176757812,440000,440
45,938.2974853515625,450000,450
46,900.2197265625,460000,460
47,897.9688720703125,470000,470
48,829.3405151367188,480000,480
49,924.5006103515625,490000,490
50,911.8883666992188,500000,500
51,927.578125,510000,510
52,931.2049560546875,520000,520
53,917.3211059570312,530000,530
54,934.1100463867188,540000,540
55,934.70654296875,550000,550
56,935.1654052734375,560000,560
57,940.1524658203125,570000,570
58,897.6453247070312,580000,580
59,928.3406982421875,590000,590
60,912.189453125,600000,600
61,941.7776489257812,610000,610
62,922.5472412109375,620000,620
63,915.5552978515625,630000,630
64,893.07470703125,640000,640
65,691.1895751953125,650000,650
66,929.6993408203125,660000,660
67,915.9031372070312,670000,670
68,901.1820068359375,680000,680
69,926.3367919921875,690000,690
70,930.0390625,700000,700
71,941.0783081054688,710000,710
72,922.0009765625,720000,720
73,944.6344604492188,730000,730
74,927.7019653320312,740000,740
75,923.0232543945312,750000,750
76,945.1853637695312,760000,760
77,934.0294799804688,770000,770
78,947.7730712890625,780000,780
79,891.9979248046875,790000,790
80,956.13623046875,800000,800
81,802.0074462890625,810000,810
82,934.6285400390625,820000,820
83,913.7017822265625,830000,830
84,937.21875,840000,840
85,846.12939453125,850000,850
86,933.0469970703125,860000,860
87,936.759765625,870000,870
88,941.0455322265625,880000,880
89,942.7030029296875,890000,890
90,947.0051879882812,900000,900
91,938.9095458984375,910000,910
92,940.4973754882812,920000,920
93,934.173828125,930000,930
94,943.7869873046875,940000,940
95,941.0481567382812,950000,950
96,948.0550537109375,960000,960
97,951.27880859375,970000,970
98,941.7620239257812,980000,980
99,938.2717895507812,990000,990
100,950.7532348632812,1000000,1000
101,946.5128784179688,1010000,1010
102,944.8258666992188,1020000,1020
103,929.9070434570312,1030000,1030
104,942.2777099609375,1040000,1040
105,958.6178588867188,1050000,1050
106,956.3831787109375,1060000,1060
107,928.9517822265625,1070000,1070
108,929.6793212890625,1080000,1080
109,947.8245239257812,1090000,1090
110,671.2950439453125,1100000,1100
111,951.224609375,1110000,1110
112,775.2505493164062,1120000,1120
113,953.1746826171875,1130000,1130
114,950.8837890625,1140000,1140
115,924.8004760742188,1150000,1150
116,860.8338623046875,1160000,1160
117,953.0718994140625,1170000,1170
118,961.0416870117188,1180000,1180
119,943.0042114257812,1190000,1190
120,947.4111328125,1200000,1200
121,939.7490234375,1210000,1210
122,959.7210693359375,1220000,1220
123,811.9470825195312,1230000,1230
124,953.3017578125,1240000,1240
125,954.5885009765625,1250000,1250
126,949.3235473632812,1260000,1260
