,AverageReturnEvalPolicy,OriginalEnvironmentSteps,NumberOfEpisodes
0,19.600000381469727,0,0
1,34.599998474121094,10000,10
2,30.399999618530273,20000,20
3,0.0,30000,30
4,516.2000122070312,40000,40
5,709.0999755859375,50000,50
6,800.5999755859375,60000,60
7,926.0999755859375,70000,70
8,909.7000122070312,80000,80
9,914.7999877929688,90000,90
10,903.2999877929688,100000,100
11,928.0,110000,110
12,930.5999755859375,120000,120
13,962.7999877929688,130000,130
14,947.0999755859375,140000,140
15,943.2000122070312,150000,150
16,959.9000244140625,160000,160
17,99.80000305175781,170000,170
18,635.5999755859375,180000,180
19,657.7999877929688,190000,190
20,635.4000244140625,200000,200
21,722.7000122070312,210000,210
22,100.0,220000,220
23,581.2000122070312,230000,230
24,934.5,240000,240
25,928.7999877929688,250000,250
26,960.7999877929688,260000,260
27,955.7999877929688,270000,270
28,935.2000122070312,280000,280
29,947.2999877929688,290000,290
30,958.7000122070312,300000,300
31,856.2000122070312,310000,310
32,961.4000244140625,320000,320
33,934.0,330000,330
34,951.4000244140625,340000,340
35,942.7999877929688,350000,350
36,936.0,360000,360
37,962.7999877929688,370000,370
38,932.2000122070312,380000,380
39,961.2000122070312,390000,390
40,959.7000122070312,400000,400
41,395.1000061035156,410000,410
42,945.5999755859375,420000,420
43,938.0999755859375,430000,430
44,956.0999755859375,440000,440
45,952.0999755859375,450000,450
46,944.0999755859375,460000,460
47,953.2999877929688,470000,470
48,960.7000122070312,480000,480
49,946.7000122070312,490000,490
50,956.5,500000,500
51,962.5,510000,510
52,949.4000244140625,520000,520
53,957.7999877929688,530000,530
54,951.0999755859375,540000,540
55,957.4000244140625,550000,550
56,960.5,560000,560
57,965.2999877929688,570000,570
58,962.5999755859375,580000,580
59,911.9000244140625,590000,590
60,939.2000122070312,600000,600
61,914.2999877929688,610000,610
62,968.7000122070312,620000,620
63,959.0,630000,630
64,964.7999877929688,640000,640
65,960.7999877929688,650000,650
66,896.2000122070312,660000,660
67,961.5999755859375,670000,670
68,954.7999877929688,680000,680
69,955.9000244140625,690000,690
70,964.5999755859375,700000,700
71,945.7000122070312,710000,710
72,970.0999755859375,720000,720
73,961.7999877929688,730000,730
74,962.0,740000,740
75,391.0,750000,750
76,965.0,760000,760
77,964.5,770000,770
78,963.0999755859375,780000,780
79,971.2000122070312,790000,790
80,958.9000244140625,800000,800
81,961.5999755859375,810000,810
82,915.7999877929688,820000,820
83,952.4000244140625,830000,830
84,973.2999877929688,840000,840
85,921.0,850000,850
86,958.4000244140625,860000,860
87,980.7999877929688,870000,870
88,968.7999877929688,880000,880
89,968.0999755859375,890000,890
90,971.2000122070312,900000,900
91,952.0,910000,910
92,936.0,920000,920
93,296.3999938964844,930000,930
94,899.0999755859375,940000,940
95,945.9000244140625,950000,950
96,971.7000122070312,960000,960
97,971.5,970000,970
98,949.7999877929688,980000,980
99,965.0,990000,990
100,969.0999755859375,1000000,1000
101,955.7000122070312,1010000,1010
102,960.7999877929688,1020000,1020
103,973.7000122070312,1030000,1030
104,972.5999755859375,1040000,1040
105,0.0,1050000,1050
106,899.0999755859375,1060000,1060
107,959.7000122070312,1070000,1070
108,969.4000244140625,1080000,1080
109,965.5,1090000,1090
110,965.5999755859375,1100000,1100
111,965.5999755859375,1110000,1110
112,967.7999877929688,1120000,1120
113,652.2000122070312,1130000,1130
114,969.2000122070312,1140000,1140
115,963.2000122070312,1150000,1150
116,298.8999938964844,1160000,1160
117,977.7000122070312,1170000,1170
118,981.5,1180000,1180
119,954.5999755859375,1190000,1190
120,965.7999877929688,1200000,1200
121,966.7000122070312,1210000,1210
122,961.5,1220000,1220
123,971.0999755859375,1230000,1230
124,962.7000122070312,1240000,1240
125,957.7999877929688,1250000,1250
126,0.0,1260000,1260
127,934.7000122070312,1270000,1270
128,964.7999877929688,1280000,1280
129,965.7999877929688,1290000,1290
130,972.7000122070312,1300000,1300
131,967.7999877929688,1310000,1310
132,974.2000122070312,1320000,1320
133,197.3000030517578,1330000,1330
134,920.0,1340000,1340
135,949.0999755859375,1350000,1350
136,962.4000244140625,1360000,1360
137,967.4000244140625,1370000,1370
138,954.0,1380000,1380
139,980.5,1390000,1390
140,962.2000122070312,1400000,1400
141,964.5,1410000,1410
142,196.8000030517578,1420000,1420
143,962.0999755859375,1430000,1430
144,956.7999877929688,1440000,1440
145,969.5,1450000,1450
146,387.6000061035156,1460000,1460
147,967.7000122070312,1470000,1470
148,958.5999755859375,1480000,1480
149,957.7999877929688,1490000,1490
150,98.80000305175781,1500000,1500
151,957.2000122070312,1510000,1510
152,965.5999755859375,1520000,1520
153,955.5999755859375,1530000,1530
154,961.2000122070312,1540000,1540
155,945.4000244140625,1550000,1550
156,952.5,1560000,1560
157,957.0999755859375,1570000,1570
158,961.4000244140625,1580000,1580
159,973.5,1590000,1590
160,953.2000122070312,1600000,1600
161,966.5,1610000,1610
162,969.0999755859375,1620000,1620
163,974.5,1630000,1630
164,966.7000122070312,1640000,1640
165,976.5,1650000,1650
166,973.0999755859375,1660000,1660
167,969.0,1670000,1670
168,953.9000244140625,1680000,1680
169,971.2999877929688,1690000,1690
170,975.0,1700000,1700
171,974.2999877929688,1710000,1710
172,970.4000244140625,1720000,1720
173,98.9000015258789,1730000,1730
174,935.7000122070312,1740000,1740
175,955.5,1750000,1750
176,978.4000244140625,1760000,1760
177,946.4000244140625,1770000,1770
178,982.5,1780000,1780
179,950.2000122070312,1790000,1790
180,852.7999877929688,1800000,1800
181,943.2000122070312,1810000,1810
182,967.9000244140625,1820000,1820
183,959.5999755859375,1830000,1830
184,100.0,1840000,1840
185,959.5,1850000,1850
186,969.0999755859375,1860000,1860
187,961.2000122070312,1870000,1870
188,962.7000122070312,1880000,1880
189,973.4000244140625,1890000,1890
190,945.0999755859375,1900000,1900
191,937.0,1910000,1910
192,970.2999877929688,1920000,1920
193,970.4000244140625,1930000,1930
194,964.7000122070312,1940000,1940
195,961.9000244140625,1950000,1950
196,981.0999755859375,1960000,1960
197,965.2999877929688,1970000,1970
198,926.7000122070312,1980000,1980
199,954.4000244140625,1990000,1990
200,953.2000122070312,2000000,2000
