,AverageReturnEvalPolicy,OriginalEnvironmentSteps,NumberOfEpisodes
0,1.7000000476837158,0,0
1,0.4000000059604645,10000,10
2,15.699999809265137,20000,20
3,326.3999938964844,30000,30
4,824.4000244140625,40000,40
5,912.7000122070312,50000,50
6,964.4000244140625,60000,60
7,960.0,70000,70
8,976.5,80000,80
9,676.7000122070312,90000,90
10,640.9000244140625,100000,100
11,977.7999877929688,110000,110
12,980.2999877929688,120000,120
13,980.4000244140625,130000,130
14,983.5,140000,140
15,975.7000122070312,150000,150
16,885.9000244140625,160000,160
17,985.2999877929688,170000,170
18,986.7999877929688,180000,180
19,985.0999755859375,190000,190
20,782.4000244140625,200000,200
21,985.0,210000,210
22,987.7999877929688,220000,220
23,986.4000244140625,230000,230
24,965.9000244140625,240000,240
25,387.79998779296875,250000,250
26,343.29998779296875,260000,260
27,975.5,270000,270
28,972.5999755859375,280000,280
29,988.7000122070312,290000,290
30,983.7000122070312,300000,300
31,988.7999877929688,310000,310
32,987.0999755859375,320000,320
33,984.0999755859375,330000,330
34,983.5999755859375,340000,340
35,602.0,350000,350
36,982.5,360000,360
37,989.0999755859375,370000,370
38,983.0,380000,380
39,866.2000122070312,390000,390
40,926.7000122070312,400000,400
41,973.2000122070312,410000,410
42,887.2999877929688,420000,420
43,886.0,430000,430
44,784.2999877929688,440000,440
45,860.9000244140625,450000,450
46,873.4000244140625,460000,460
47,875.9000244140625,470000,470
48,987.5999755859375,480000,480
49,961.0999755859375,490000,490
50,986.5,500000,500
51,982.2000122070312,510000,510
52,988.5,520000,520
53,983.5,530000,530
54,984.7000122070312,540000,540
55,985.5999755859375,550000,550
56,796.5,560000,560
57,923.2999877929688,570000,570
58,982.2000122070312,580000,580
59,619.4000244140625,590000,590
60,958.9000244140625,600000,600
61,981.5999755859375,610000,610
62,890.9000244140625,620000,620
63,945.5,630000,630
64,874.4000244140625,640000,640
65,985.0999755859375,650000,650
66,982.7000122070312,660000,660
67,985.0,670000,670
68,987.5,680000,680
69,982.2999877929688,690000,690
70,988.7000122070312,700000,700
71,976.7999877929688,710000,710
72,982.0999755859375,720000,720
73,986.9000244140625,730000,730
74,987.7000122070312,740000,740
75,983.7999877929688,750000,750
76,976.5,760000,760
77,934.2999877929688,770000,770
78,983.5,780000,780
79,968.7000122070312,790000,790
80,969.5999755859375,800000,800
81,572.0999755859375,810000,810
82,983.2000122070312,820000,820
83,950.7000122070312,830000,830
84,983.0999755859375,840000,840
85,977.7999877929688,850000,850
86,976.7999877929688,860000,860
87,392.29998779296875,870000,870
88,985.4000244140625,880000,880
89,886.0999755859375,890000,890
90,884.0999755859375,900000,900
91,962.5,910000,910
92,951.7000122070312,920000,920
93,887.5,930000,930
94,906.5999755859375,940000,940
95,973.5,950000,950
