,AverageReturnEvalPolicy,OriginalEnvironmentSteps,NumberOfEpisodes
0,2.5,0,0
1,0.5,10000,10
2,0.20000000298023224,20000,20
3,291.3999938964844,30000,30
4,364.1000061035156,40000,40
5,494.3999938964844,50000,50
6,757.7999877929688,60000,60
7,923.4000244140625,70000,70
8,952.0999755859375,80000,80
9,969.2999877929688,90000,90
10,977.2000122070312,100000,100
11,980.5999755859375,110000,110
12,952.0999755859375,120000,120
13,978.2000122070312,130000,130
14,979.7999877929688,140000,140
15,985.2999877929688,150000,150
16,983.0999755859375,160000,160
17,53.5,170000,170
18,983.4000244140625,180000,180
19,983.2000122070312,190000,190
20,864.7000122070312,200000,200
21,882.4000244140625,210000,210
22,971.7999877929688,220000,220
23,982.5,230000,230
24,985.7000122070312,240000,240
25,981.9000244140625,250000,250
26,988.0,260000,260
27,985.4000244140625,270000,270
28,890.4000244140625,280000,280
29,383.8999938964844,290000,290
30,883.9000244140625,300000,300
31,977.2000122070312,310000,310
32,980.4000244140625,320000,320
33,983.5999755859375,330000,330
34,987.0,340000,340
35,888.2000122070312,350000,350
36,984.4000244140625,360000,360
37,984.9000244140625,370000,370
38,796.2000122070312,380000,380
39,984.2999877929688,390000,390
40,985.2999877929688,400000,400
41,976.2999877929688,410000,410
42,984.5,420000,420
43,981.9000244140625,430000,430
44,984.2000122070312,440000,440
45,984.0,450000,450
46,979.5999755859375,460000,460
47,985.0,470000,470
48,873.9000244140625,480000,480
49,880.0,490000,490
50,981.4000244140625,500000,500
51,981.2999877929688,510000,510
52,988.7999877929688,520000,520
53,984.7999877929688,530000,530
54,820.2999877929688,540000,540
55,980.4000244140625,550000,550
56,888.0,560000,560
57,983.7999877929688,570000,570
58,982.5,580000,580
59,984.4000244140625,590000,590
60,981.9000244140625,600000,600
61,980.9000244140625,610000,610
62,991.2000122070312,620000,620
63,985.5999755859375,630000,630
64,987.0999755859375,640000,640
65,862.9000244140625,650000,650
66,980.7999877929688,660000,660
67,983.7000122070312,670000,670
68,988.4000244140625,680000,680
69,981.0,690000,690
70,974.2000122070312,700000,700
71,982.0999755859375,710000,710
72,976.7000122070312,720000,720
73,981.2999877929688,730000,730
74,977.7000122070312,740000,740
75,982.9000244140625,750000,750
76,974.7999877929688,760000,760
77,883.7999877929688,770000,770
78,960.2000122070312,780000,780
79,984.5999755859375,790000,790
80,903.4000244140625,800000,800
81,967.7000122070312,810000,810
82,982.9000244140625,820000,820
83,842.7000122070312,830000,830
84,984.7000122070312,840000,840
85,971.7999877929688,850000,850
86,894.2999877929688,860000,860
87,982.7999877929688,870000,870
88,986.0,880000,880
89,985.7000122070312,890000,890
90,898.7000122070312,900000,900
91,974.5,910000,910
92,974.2999877929688,920000,920
93,957.7000122070312,930000,930
94,983.0,940000,940
95,978.2999877929688,950000,950
96,986.2999877929688,960000,960
97,989.5,970000,970
98,986.0999755859375,980000,980
99,981.2999877929688,990000,990
100,984.0999755859375,1000000,1000
101,952.5999755859375,1010000,1010
102,937.0999755859375,1020000,1020
103,885.7999877929688,1030000,1030
104,883.2999877929688,1040000,1040
105,982.2999877929688,1050000,1050
106,982.4000244140625,1060000,1060
107,987.2999877929688,1070000,1070
108,981.5999755859375,1080000,1080
109,987.5,1090000,1090
110,982.9000244140625,1100000,1100
111,982.5999755859375,1110000,1110
