,AverageReturnEvalPolicy,OriginalEnvironmentSteps,NumberOfEpisodes
0,12.966135025024414,0,0
1,17.909893035888672,10000,10
2,16.252483367919922,20000,20
3,55.18889236450195,30000,30
4,126.55086517333984,40000,40
5,125.415283203125,50000,50
6,270.76556396484375,60000,60
7,326.38079833984375,70000,70
8,353.48260498046875,80000,80
9,387.38018798828125,90000,90
10,266.24810791015625,100000,100
11,350.8451843261719,110000,110
12,415.1595153808594,120000,120
13,444.8350524902344,130000,130
14,435.52056884765625,140000,140
15,433.9779357910156,150000,150
16,422.33721923828125,160000,160
17,477.31109619140625,170000,170
18,488.17291259765625,180000,180
19,513.4585571289062,190000,190
20,517.3231201171875,200000,200
21,517.654052734375,210000,210
22,547.5496826171875,220000,220
23,545.8776245117188,230000,230
24,545.8775634765625,240000,240
25,555.3426513671875,250000,250
26,551.24267578125,260000,260
27,549.1793212890625,270000,270
28,488.488037109375,280000,280
29,575.03271484375,290000,290
30,596.2587890625,300000,300
31,499.9677734375,310000,310
32,572.5513916015625,320000,320
33,630.8841552734375,330000,330
34,625.6822509765625,340000,340
35,647.3980712890625,350000,350
36,645.7225952148438,360000,360
37,657.1009521484375,370000,370
38,655.2965087890625,380000,380
39,571.3594360351562,390000,390
40,668.8381958007812,400000,400
41,679.3953247070312,410000,410
42,645.7008666992188,420000,420
43,635.3193969726562,430000,430
44,657.8095703125,440000,440
45,680.85888671875,450000,450
46,717.2283325195312,460000,460
47,692.7242431640625,470000,470
48,713.431396484375,480000,480
49,706.9788818359375,490000,490
50,699.6153564453125,500000,500
51,705.3601684570312,510000,510
52,619.3853759765625,520000,520
53,715.6740112304688,530000,530
54,717.4754638671875,540000,540
55,725.8851318359375,550000,550
56,671.6529541015625,560000,560
57,729.5924072265625,570000,570
58,687.437744140625,580000,580
59,732.3109130859375,590000,590
60,733.017333984375,600000,600
61,753.9651489257812,610000,610
62,757.9398193359375,620000,620
63,750.64501953125,630000,630
64,753.874267578125,640000,640
65,710.1565551757812,650000,650
66,744.2095336914062,660000,660
67,752.7031860351562,670000,670
68,760.7730712890625,680000,680
69,766.885009765625,690000,690
70,748.9314575195312,700000,700
71,740.838134765625,710000,710
72,775.1326904296875,720000,720
73,742.7146606445312,730000,730
74,776.44970703125,740000,740
75,790.7098999023438,750000,750
76,762.0347290039062,760000,760
77,773.6881713867188,770000,770
78,729.9801025390625,780000,780
79,805.7601928710938,790000,790
80,771.2127075195312,800000,800
81,817.6301879882812,810000,810
82,721.16357421875,820000,820
83,822.3629150390625,830000,830
84,830.6395263671875,840000,840
85,796.3907470703125,850000,850
86,806.51416015625,860000,860
87,812.4573364257812,870000,870
88,828.5548095703125,880000,880
89,759.4769287109375,890000,890
90,808.8040161132812,900000,900
91,837.5197143554688,910000,910
92,805.1104125976562,920000,920
93,835.1036376953125,930000,930
94,803.2803955078125,940000,940
95,840.697265625,950000,950
96,824.7731323242188,960000,960
97,830.7110595703125,970000,970
98,842.2713623046875,980000,980
99,844.3443603515625,990000,990
100,830.2239379882812,1000000,1000
101,838.8548583984375,1010000,1010
102,838.5093994140625,1020000,1020
103,835.4793701171875,1030000,1030
104,794.658203125,1040000,1040
105,837.93505859375,1050000,1050
106,819.1387939453125,1060000,1060
107,844.63623046875,1070000,1070
108,831.7862548828125,1080000,1080
109,860.2269287109375,1090000,1090
110,836.5653076171875,1100000,1100
111,832.7864379882812,1110000,1110
