,AverageReturnEvalPolicy,OriginalEnvironmentSteps,NumberOfEpisodes
0,14.885045051574707,0,0
1,14.337692260742188,10000,10
2,18.020475387573242,20000,20
3,39.20514678955078,30000,30
4,87.2961196899414,40000,40
5,159.12486267089844,50000,50
6,266.13775634765625,60000,60
7,301.21063232421875,70000,70
8,293.9583435058594,80000,80
9,249.70382690429688,90000,90
10,280.7767333984375,100000,100
11,340.1786804199219,110000,110
12,336.7304992675781,120000,120
13,360.77362060546875,130000,130
14,380.1444396972656,140000,140
15,442.89776611328125,150000,150
16,451.6185607910156,160000,160
17,462.5921325683594,170000,170
18,443.679931640625,180000,180
19,470.7557067871094,190000,190
20,458.1209411621094,200000,200
21,467.7435607910156,210000,210
22,502.2659606933594,220000,220
23,493.17230224609375,230000,230
24,505.8651428222656,240000,240
25,460.3583068847656,250000,250
26,495.07928466796875,260000,260
27,528.86669921875,270000,270
28,523.8748779296875,280000,280
29,549.7200927734375,290000,290
30,550.814453125,300000,300
31,553.814697265625,310000,310
32,568.433837890625,320000,320
33,541.7261962890625,330000,330
34,577.665283203125,340000,340
35,568.2493896484375,350000,350
36,609.30029296875,360000,360
37,534.2998657226562,370000,370
38,616.987548828125,380000,380
39,621.717529296875,390000,390
40,605.9649047851562,400000,400
41,613.7088012695312,410000,410
42,637.68701171875,420000,420
43,633.0277099609375,430000,430
44,637.7413330078125,440000,440
45,633.4100341796875,450000,450
46,649.2308349609375,460000,460
47,652.6300048828125,470000,470
48,640.3956298828125,480000,480
49,674.7581787109375,490000,490
50,682.072509765625,500000,500
51,651.8604125976562,510000,510
52,662.4580688476562,520000,520
53,655.3966674804688,530000,530
54,672.589111328125,540000,540
55,630.9837036132812,550000,550
56,676.4849243164062,560000,560
57,702.5723266601562,570000,570
58,670.9329833984375,580000,580
59,703.1060180664062,590000,590
60,707.16259765625,600000,600
61,702.1907958984375,610000,610
62,688.7422485351562,620000,620
63,711.7379760742188,630000,630
64,726.5637817382812,640000,640
65,702.4215087890625,650000,650
66,718.9921264648438,660000,660
67,717.734130859375,670000,670
68,724.6109619140625,680000,680
69,676.5794677734375,690000,690
70,715.2095947265625,700000,700
71,734.3326416015625,710000,710
72,737.0676879882812,720000,720
73,736.8078002929688,730000,730
74,736.6035766601562,740000,740
75,712.4080810546875,750000,750
76,743.9896850585938,760000,760
77,743.5256958007812,770000,770
78,727.3890380859375,780000,780
79,755.8633422851562,790000,790
80,700.5530395507812,800000,800
81,757.385498046875,810000,810
82,755.4368896484375,820000,820
83,762.9292602539062,830000,830
84,764.72021484375,840000,840
85,776.020263671875,850000,850
86,772.3394775390625,860000,860
87,772.239013671875,870000,870
88,786.2109375,880000,880
89,729.1270751953125,890000,890
90,797.4642333984375,900000,900
91,786.9647216796875,910000,910
92,795.9654541015625,920000,920
93,792.9033203125,930000,930
94,791.5177001953125,940000,940
95,667.6256103515625,950000,950
96,769.6104125976562,960000,960
97,782.2657470703125,970000,970
98,757.8912353515625,980000,980
99,796.240478515625,990000,990
