,AverageReturnEvalPolicy,OriginalEnvironmentSteps,NumberOfEpisodes
0,7.599999904632568,0,0
1,120.0999984741211,10000,10
2,307.20001220703125,20000,20
3,195.1999969482422,30000,30
4,665.7999877929688,40000,40
5,624.2000122070312,50000,50
6,672.2000122070312,60000,60
7,639.5,70000,70
8,838.9000244140625,80000,80
9,944.0999755859375,90000,90
10,837.0,100000,100
11,912.0999755859375,110000,110
12,908.7000122070312,120000,120
13,899.0999755859375,130000,130
14,941.2000122070312,140000,140
15,931.5999755859375,150000,150
16,948.0999755859375,160000,160
17,918.7999877929688,170000,170
18,935.5,180000,180
19,950.9000244140625,190000,190
20,956.2999877929688,200000,200
21,933.7000122070312,210000,210
22,955.2999877929688,220000,220
23,942.7999877929688,230000,230
24,965.5999755859375,240000,240
25,961.7000122070312,250000,250
26,197.1999969482422,260000,260
27,964.2000122070312,270000,270
28,960.4000244140625,280000,280
29,954.9000244140625,290000,290
30,0.0,300000,300
31,958.7999877929688,310000,310
32,958.7999877929688,320000,320
33,98.5,330000,330
34,959.5,340000,340
35,955.5999755859375,350000,350
36,965.9000244140625,360000,360
37,962.0,370000,370
38,967.5999755859375,380000,380
39,963.7999877929688,390000,390
40,968.7999877929688,400000,400
41,963.9000244140625,410000,410
42,973.7999877929688,420000,420
43,964.5,430000,430
44,966.0,440000,440
45,962.5,450000,450
46,959.9000244140625,460000,460
47,959.5,470000,470
48,956.0,480000,480
49,962.2999877929688,490000,490
50,964.5999755859375,500000,500
51,970.2000122070312,510000,510
52,967.0999755859375,520000,520
53,964.0999755859375,530000,530
54,964.4000244140625,540000,540
55,965.7999877929688,550000,550
56,970.5999755859375,560000,560
57,973.2000122070312,570000,570
58,634.4000244140625,580000,580
59,967.0999755859375,590000,590
60,956.2000122070312,600000,600
61,290.70001220703125,610000,610
62,961.7999877929688,620000,620
63,958.7999877929688,630000,630
64,968.2999877929688,640000,640
65,962.7000122070312,650000,650
66,970.2000122070312,660000,660
67,960.9000244140625,670000,670
68,961.5999755859375,680000,680
69,962.0999755859375,690000,690
70,969.9000244140625,700000,700
71,957.7999877929688,710000,710
72,964.5999755859375,720000,720
73,959.4000244140625,730000,730
74,959.0,740000,740
75,956.4000244140625,750000,750
76,267.0,760000,760
77,955.7999877929688,770000,770
78,939.2000122070312,780000,780
79,942.9000244140625,790000,790
80,971.5,800000,800
81,963.9000244140625,810000,810
82,974.0999755859375,820000,820
83,952.9000244140625,830000,830
84,980.0999755859375,840000,840
85,970.0999755859375,850000,850
86,977.5,860000,860
87,962.5,870000,870
88,938.0,880000,880
89,972.5999755859375,890000,890
90,976.5999755859375,900000,900
91,959.0,910000,910
92,99.69999694824219,920000,920
93,825.2999877929688,930000,930
94,511.79998779296875,940000,940
95,936.0999755859375,950000,950
96,962.5999755859375,960000,960
97,969.7000122070312,970000,970
98,963.9000244140625,980000,980
99,969.5999755859375,990000,990
100,969.5,1000000,1000
101,963.0,1010000,1010
102,957.5,1020000,1020
103,969.0999755859375,1030000,1030
104,975.0999755859375,1040000,1040
105,971.7000122070312,1050000,1050
106,978.0999755859375,1060000,1060
107,967.2999877929688,1070000,1070
108,100.0,1080000,1080
109,966.2999877929688,1090000,1090
110,968.0,1100000,1100
111,977.4000244140625,1110000,1110
112,973.7999877929688,1120000,1120
113,967.5,1130000,1130
114,972.9000244140625,1140000,1140
115,957.5999755859375,1150000,1150
116,970.0,1160000,1160
117,968.0,1170000,1170
118,976.7000122070312,1180000,1180
119,964.7999877929688,1190000,1190
120,966.9000244140625,1200000,1200
121,957.4000244140625,1210000,1210
122,321.70001220703125,1220000,1220
123,971.5,1230000,1230
124,963.4000244140625,1240000,1240
125,965.9000244140625,1250000,1250
126,967.9000244140625,1260000,1260
127,972.5,1270000,1270
