,AverageReturnEvalPolicy,OriginalEnvironmentSteps,NumberOfEpisodes
0,0.6000000238418579,0,0
1,0.0,10000,10
2,51.0,20000,20
3,812.9000244140625,30000,30
4,867.2000122070312,40000,40
5,884.0999755859375,50000,50
6,904.5999755859375,60000,60
7,911.9000244140625,70000,70
8,867.0,80000,80
9,719.2000122070312,90000,90
10,847.7000122070312,100000,100
11,753.5,110000,110
12,944.4000244140625,120000,120
13,886.2000122070312,130000,130
14,977.5,140000,140
15,984.2999877929688,150000,150
16,964.4000244140625,160000,160
17,985.7000122070312,170000,170
18,730.9000244140625,180000,180
19,928.9000244140625,190000,190
20,984.5999755859375,200000,200
21,983.5,210000,210
22,988.2000122070312,220000,220
23,979.2999877929688,230000,230
24,966.4000244140625,240000,240
25,885.4000244140625,250000,250
26,987.7999877929688,260000,260
27,984.0999755859375,270000,270
28,960.2999877929688,280000,280
29,829.0,290000,290
30,877.2000122070312,300000,300
31,925.5,310000,310
32,986.4000244140625,320000,320
33,984.5999755859375,330000,330
34,983.2000122070312,340000,340
35,987.2999877929688,350000,350
36,980.0,360000,360
37,984.2999877929688,370000,370
38,979.5999755859375,380000,380
39,980.5,390000,390
40,981.7000122070312,400000,400
41,810.5999755859375,410000,410
42,986.0,420000,420
43,979.0,430000,430
44,983.7000122070312,440000,440
45,982.5999755859375,450000,450
46,982.0,460000,460
47,885.7999877929688,470000,470
48,937.7000122070312,480000,480
49,987.0999755859375,490000,490
50,986.7999877929688,500000,500
51,984.7999877929688,510000,510
52,988.7000122070312,520000,520
53,987.5,530000,530
54,982.5,540000,540
55,984.2999877929688,550000,550
56,984.9000244140625,560000,560
57,969.4000244140625,570000,570
58,987.2000122070312,580000,580
59,984.0999755859375,590000,590
60,977.4000244140625,600000,600
61,986.0999755859375,610000,610
62,963.0,620000,620
63,985.4000244140625,630000,630
64,883.4000244140625,640000,640
65,980.2000122070312,650000,650
66,985.5,660000,660
67,982.5,670000,670
68,982.7000122070312,680000,680
69,955.2999877929688,690000,690
70,983.5,700000,700
71,984.7999877929688,710000,710
72,985.7999877929688,720000,720
73,984.7000122070312,730000,730
74,728.9000244140625,740000,740
75,590.7999877929688,750000,750
76,984.7000122070312,760000,760
77,988.7999877929688,770000,770
78,985.0,780000,780
79,39.0,790000,790
80,986.4000244140625,800000,800
81,982.7999877929688,810000,810
82,987.5,820000,820
83,981.0999755859375,830000,830
84,981.0999755859375,840000,840
85,981.7000122070312,850000,850
86,988.5999755859375,860000,860
87,984.2999877929688,870000,870
88,989.2999877929688,880000,880
89,988.2999877929688,890000,890
90,882.0999755859375,900000,900
91,978.5,910000,910
92,988.0,920000,920
93,985.0,930000,930
94,988.7000122070312,940000,940
95,888.0,950000,950
96,928.9000244140625,960000,960
97,987.5,970000,970
98,872.0999755859375,980000,980
99,958.2999877929688,990000,990
100,987.0999755859375,1000000,1000
101,855.2999877929688,1010000,1010
102,888.2999877929688,1020000,1020
103,984.9000244140625,1030000,1030
104,987.2999877929688,1040000,1040
105,984.9000244140625,1050000,1050
106,884.9000244140625,1060000,1060
107,978.9000244140625,1070000,1070
108,987.0,1080000,1080
109,983.0999755859375,1090000,1090
110,985.9000244140625,1100000,1100
111,988.0,1110000,1110
112,986.0,1120000,1120
113,985.0,1130000,1130
114,981.5999755859375,1140000,1140
115,984.2999877929688,1150000,1150
116,985.0999755859375,1160000,1160
117,975.2999877929688,1170000,1170
118,986.9000244140625,1180000,1180
119,977.5999755859375,1190000,1190
120,977.2999877929688,1200000,1200
121,982.9000244140625,1210000,1210
122,986.5,1220000,1220
123,987.0,1230000,1230
124,979.2000122070312,1240000,1240
125,953.2999877929688,1250000,1250
126,982.5999755859375,1260000,1260
127,952.7999877929688,1270000,1270
128,935.2999877929688,1280000,1280
129,895.4000244140625,1290000,1290
130,985.4000244140625,1300000,1300
131,890.0999755859375,1310000,1310
132,987.4000244140625,1320000,1320
133,16.899999618530273,1330000,1330
134,990.4000244140625,1340000,1340
135,980.9000244140625,1350000,1350
136,988.5,1360000,1360
137,835.2000122070312,1370000,1370
138,984.2000122070312,1380000,1380
139,984.5999755859375,1390000,1390
140,983.5999755859375,1400000,1400
141,983.9000244140625,1410000,1410
142,950.7000122070312,1420000,1420
143,982.7999877929688,1430000,1430
144,975.7999877929688,1440000,1440
145,985.9000244140625,1450000,1450
146,983.0999755859375,1460000,1460
147,986.5,1470000,1470
148,981.2999877929688,1480000,1480
149,987.5,1490000,1490
150,988.5,1500000,1500
151,767.7999877929688,1510000,1510
152,985.0,1520000,1520
153,712.0,1530000,1530
154,979.0999755859375,1540000,1540
155,979.2000122070312,1550000,1550
156,904.2999877929688,1560000,1560
157,983.0999755859375,1570000,1570
158,981.0,1580000,1580
159,989.2000122070312,1590000,1590
160,983.7000122070312,1600000,1600
161,986.0,1610000,1610
162,888.7000122070312,1620000,1620
