,AverageReturnEvalPolicy,OriginalEnvironmentSteps,NumberOfEpisodes
0,26.700000762939453,0,0
1,55.400001525878906,10000,10
2,102.19999694824219,20000,20
3,0.0,30000,30
4,527.7999877929688,40000,40
5,539.5,50000,50
6,428.6000061035156,60000,60
7,414.70001220703125,70000,70
8,566.2999877929688,80000,80
9,652.9000244140625,90000,90
10,889.7000122070312,100000,100
11,897.2999877929688,110000,110
12,938.2999877929688,120000,120
13,894.9000244140625,130000,130
14,933.7000122070312,140000,140
15,910.5999755859375,150000,150
16,940.5999755859375,160000,160
17,948.9000244140625,170000,170
18,919.4000244140625,180000,180
19,948.5999755859375,190000,190
20,959.4000244140625,200000,200
21,923.7999877929688,210000,210
22,972.4000244140625,220000,220
23,943.0,230000,230
24,968.7999877929688,240000,240
25,958.9000244140625,250000,250
26,99.30000305175781,260000,260
27,949.5,270000,270
28,969.2000122070312,280000,280
29,970.0999755859375,290000,290
30,968.2000122070312,300000,300
31,949.2999877929688,310000,310
32,964.0999755859375,320000,320
33,962.4000244140625,330000,330
34,964.5999755859375,340000,340
35,968.2999877929688,350000,350
36,496.20001220703125,360000,360
37,972.4000244140625,370000,370
38,963.2000122070312,380000,380
39,947.5999755859375,390000,390
40,961.0999755859375,400000,400
41,976.4000244140625,410000,410
42,957.7000122070312,420000,420
43,671.0999755859375,430000,430
44,961.7999877929688,440000,440
45,982.2000122070312,450000,450
46,0.0,460000,460
47,964.0,470000,470
48,967.0,480000,480
49,959.0999755859375,490000,490
50,942.0999755859375,500000,500
51,957.0999755859375,510000,510
52,973.2999877929688,520000,520
53,979.9000244140625,530000,530
54,972.5999755859375,540000,540
55,912.2000122070312,550000,550
56,967.2999877929688,560000,560
57,973.5,570000,570
58,952.5999755859375,580000,580
59,970.5,590000,590
60,961.4000244140625,600000,600
61,950.5999755859375,610000,610
62,944.4000244140625,620000,620
63,970.2000122070312,630000,630
64,966.7000122070312,640000,640
65,980.5,650000,650
66,974.2000122070312,660000,660
67,975.0999755859375,670000,670
68,978.0999755859375,680000,680
69,99.5999984741211,690000,690
70,944.9000244140625,700000,700
71,974.0,710000,710
72,954.4000244140625,720000,720
73,980.9000244140625,730000,730
74,987.7000122070312,740000,740
75,977.5999755859375,750000,750
76,976.5999755859375,760000,760
77,966.2999877929688,770000,770
78,973.4000244140625,780000,780
79,955.0,790000,790
80,200.60000610351562,800000,800
81,894.5999755859375,810000,810
82,966.9000244140625,820000,820
83,972.7000122070312,830000,830
84,969.2999877929688,840000,840
85,494.8999938964844,850000,850
86,947.7999877929688,860000,860
87,969.7999877929688,870000,870
88,969.0,880000,880
89,973.9000244140625,890000,890
90,973.2000122070312,900000,900
91,970.7000122070312,910000,910
92,966.2000122070312,920000,920
93,967.7999877929688,930000,930
94,967.4000244140625,940000,940
95,921.2999877929688,950000,950
96,954.7000122070312,960000,960
97,976.0999755859375,970000,970
98,937.0999755859375,980000,980
99,975.2000122070312,990000,990
100,969.9000244140625,1000000,1000
101,967.0999755859375,1010000,1010
102,977.7000122070312,1020000,1020
103,967.0999755859375,1030000,1030
104,962.5,1040000,1040
105,977.5999755859375,1050000,1050
106,970.7999877929688,1060000,1060
107,816.7000122070312,1070000,1070
108,966.2999877929688,1080000,1080
109,970.7000122070312,1090000,1090
110,967.2999877929688,1100000,1100
111,955.0,1110000,1110
112,966.4000244140625,1120000,1120
113,968.7000122070312,1130000,1130
114,971.2000122070312,1140000,1140
115,967.9000244140625,1150000,1150
116,981.0,1160000,1160
117,946.9000244140625,1170000,1170
118,968.9000244140625,1180000,1180
119,968.5999755859375,1190000,1190
120,970.9000244140625,1200000,1200
121,965.0999755859375,1210000,1210
122,969.7000122070312,1220000,1220
123,966.9000244140625,1230000,1230
124,963.2000122070312,1240000,1240
125,394.79998779296875,1250000,1250
126,957.9000244140625,1260000,1260
127,961.0,1270000,1270
128,972.0999755859375,1280000,1280
129,966.0,1290000,1290
130,964.2999877929688,1300000,1300
131,975.5,1310000,1310
132,979.0999755859375,1320000,1320
133,974.9000244140625,1330000,1330
134,565.5,1340000,1340
135,944.5999755859375,1350000,1350
136,975.0,1360000,1360
137,974.2000122070312,1370000,1370
138,959.4000244140625,1380000,1380
139,966.5999755859375,1390000,1390
140,981.5,1400000,1400
141,973.2000122070312,1410000,1410
142,973.7000122070312,1420000,1420
143,976.4000244140625,1430000,1430
144,975.7000122070312,1440000,1440
145,980.2999877929688,1450000,1450
146,550.5,1460000,1460
147,97.4000015258789,1470000,1470
148,936.0999755859375,1480000,1480
149,963.0,1490000,1490
150,951.9000244140625,1500000,1500
151,958.7999877929688,1510000,1510
152,971.5,1520000,1520
153,972.0999755859375,1530000,1530
154,198.3000030517578,1540000,1540
155,962.5999755859375,1550000,1550
156,974.5,1560000,1560
157,976.5,1570000,1570
158,972.0,1580000,1580
159,975.2000122070312,1590000,1590
160,963.2999877929688,1600000,1600
161,966.0999755859375,1610000,1610
162,394.5,1620000,1620
163,974.9000244140625,1630000,1630
164,966.4000244140625,1640000,1640
165,954.9000244140625,1650000,1650
166,979.7999877929688,1660000,1660
167,966.7999877929688,1670000,1670
168,978.9000244140625,1680000,1680
169,977.7000122070312,1690000,1690
170,971.0999755859375,1700000,1700
171,968.5999755859375,1710000,1710
172,958.5999755859375,1720000,1720
173,958.5,1730000,1730
174,980.2000122070312,1740000,1740
175,970.2999877929688,1750000,1750
176,972.7999877929688,1760000,1760
177,963.9000244140625,1770000,1770
178,973.7000122070312,1780000,1780
179,971.0999755859375,1790000,1790
180,978.0,1800000,1800
181,969.0,1810000,1810
182,968.2000122070312,1820000,1820
183,973.0999755859375,1830000,1830
184,960.2999877929688,1840000,1840
185,967.4000244140625,1850000,1850
186,976.9000244140625,1860000,1860
187,981.5,1870000,1870
188,970.9000244140625,1880000,1880
189,966.2999877929688,1890000,1890
190,975.5999755859375,1900000,1900
191,968.0999755859375,1910000,1910
192,972.2999877929688,1920000,1920
193,936.7000122070312,1930000,1930
194,976.0999755859375,1940000,1940
195,970.2000122070312,1950000,1950
196,975.7000122070312,1960000,1960
197,98.9000015258789,1970000,1970
198,786.2000122070312,1980000,1980
199,778.0999755859375,1990000,1990
200,954.7999877929688,2000000,2000
