,domain_name,task_name,action_repeat,decoder_var,trial_id,AverageReturnEvalPolicy,OriginalEnvironmentSteps,NumberOfEpisodes
82,reacher,easy,4.0,0.004,0,968.2000122070312,820000,820.0
83,reacher,easy,4.0,0.004,0,950.5,830000,830.0
84,reacher,easy,4.0,0.004,0,864.0999755859375,840000,840.0
85,reacher,easy,4.0,0.004,0,855.9000244140625,850000,850.0
86,reacher,easy,4.0,0.004,0,869.0999755859375,860000,860.0
87,reacher,easy,4.0,0.004,0,937.5,870000,870.0
88,reacher,easy,4.0,0.004,0,853.4000244140625,880000,880.0
89,reacher,easy,4.0,0.004,0,772.2999877929688,890000,890.0
90,reacher,easy,4.0,0.004,0,843.2999877929688,900000,900.0
91,reacher,easy,4.0,0.004,0,957.4000244140625,910000,910.0
92,reacher,easy,4.0,0.004,0,755.5999755859375,920000,920.0
93,reacher,easy,4.0,0.004,0,868.0,930000,930.0
94,reacher,easy,4.0,0.004,0,865.2999877929688,940000,940.0
95,reacher,easy,4.0,0.004,0,833.7999877929688,950000,950.0
96,reacher,easy,4.0,0.004,0,917.0999755859375,960000,960.0
97,reacher,easy,4.0,0.004,0,837.0,970000,970.0
98,reacher,easy,4.0,0.004,0,844.5999755859375,980000,980.0
99,reacher,easy,4.0,0.004,0,700.2000122070312,990000,990.0
100,reacher,easy,4.0,0.004,0,599.2999877929688,1000000,1000.0
101,reacher,easy,4.0,0.004,0,910.2999877929688,1010000,1010.0
102,reacher,easy,4.0,0.004,0,878.0999755859375,1020000,1020.0
103,reacher,easy,4.0,0.004,0,953.2000122070312,1030000,1030.0
104,reacher,easy,4.0,0.004,0,711.7999877929688,1040000,1040.0
105,reacher,easy,4.0,0.004,0,906.7999877929688,1050000,1050.0
106,reacher,easy,4.0,0.004,0,847.7999877929688,1060000,1060.0
107,reacher,easy,4.0,0.004,0,858.7999877929688,1070000,1070.0
108,reacher,easy,4.0,0.004,0,875.7000122070312,1080000,1080.0
109,reacher,easy,4.0,0.004,0,910.5,1090000,1090.0
110,reacher,easy,4.0,0.004,0,961.5999755859375,1100000,1100.0
111,reacher,easy,4.0,0.004,0,959.0999755859375,1110000,1110.0
112,reacher,easy,4.0,0.004,0,832.2000122070312,1120000,1120.0
113,reacher,easy,4.0,0.004,0,859.5,1130000,1130.0
114,reacher,easy,4.0,0.004,0,765.5999755859375,1140000,1140.0
115,reacher,easy,4.0,0.004,0,878.2000122070312,1150000,1150.0
116,reacher,easy,4.0,0.004,0,819.5,1160000,1160.0
117,reacher,easy,4.0,0.004,0,970.5,1170000,1170.0
118,reacher,easy,4.0,0.004,0,847.2000122070312,1180000,1180.0
119,reacher,easy,4.0,0.004,0,962.7999877929688,1190000,1190.0
120,reacher,easy,4.0,0.004,0,955.7999877929688,1200000,1200.0
121,reacher,easy,4.0,0.004,0,962.2999877929688,1210000,1210.0
122,reacher,easy,4.0,0.004,0,781.0,1220000,1220.0
123,reacher,easy,4.0,0.004,0,849.7000122070312,1230000,1230.0
124,reacher,easy,4.0,0.004,0,885.9000244140625,1240000,1240.0
125,reacher,easy,4.0,0.004,0,864.5999755859375,1250000,1250.0
126,reacher,easy,4.0,0.004,0,879.7000122070312,1260000,1260.0
127,reacher,easy,4.0,0.004,0,803.5,1270000,1270.0
128,reacher,easy,4.0,0.004,0,868.4000244140625,1280000,1280.0
129,reacher,easy,4.0,0.004,0,692.2999877929688,1290000,1290.0
130,reacher,easy,4.0,0.004,0,745.5,1300000,1300.0
131,reacher,easy,4.0,0.004,0,937.5999755859375,1310000,1310.0
132,reacher,easy,4.0,0.004,0,719.2999877929688,1320000,1320.0
133,reacher,easy,4.0,0.004,0,948.2999877929688,1330000,1330.0
134,reacher,easy,4.0,0.004,0,870.7999877929688,1340000,1340.0
135,reacher,easy,4.0,0.004,0,875.5,1350000,1350.0
136,reacher,easy,4.0,0.004,0,908.0999755859375,1360000,1360.0
137,reacher,easy,4.0,0.004,0,863.0,1370000,1370.0
138,reacher,easy,4.0,0.004,0,843.0999755859375,1380000,1380.0
139,reacher,easy,4.0,0.004,0,895.2000122070312,1390000,1390.0
140,reacher,easy,4.0,0.004,0,770.2999877929688,1400000,1400.0
141,reacher,easy,4.0,0.004,0,940.5999755859375,1410000,1410.0
142,reacher,easy,4.0,0.004,0,957.4000244140625,1420000,1420.0
143,reacher,easy,4.0,0.004,0,756.0,1430000,1430.0
144,reacher,easy,4.0,0.004,0,967.4000244140625,1440000,1440.0
145,reacher,easy,4.0,0.004,0,880.5999755859375,1450000,1450.0
146,reacher,easy,4.0,0.004,0,781.2000122070312,1460000,1460.0
147,reacher,easy,4.0,0.004,0,872.2999877929688,1470000,1470.0
148,reacher,easy,4.0,0.004,0,779.0,1480000,1480.0
149,reacher,easy,4.0,0.004,0,856.7000122070312,1490000,1490.0
150,reacher,easy,4.0,0.004,0,907.7000122070312,1500000,1500.0
151,reacher,easy,4.0,0.004,0,941.4000244140625,1510000,1510.0
152,reacher,easy,4.0,0.004,0,933.4000244140625,1520000,1520.0
153,reacher,easy,4.0,0.004,0,965.7999877929688,1530000,1530.0
154,reacher,easy,4.0,0.004,0,903.2000122070312,1540000,1540.0
155,reacher,easy,4.0,0.004,0,885.0999755859375,1550000,1550.0
156,reacher,easy,4.0,0.004,0,963.7000122070312,1560000,1560.0
157,reacher,easy,4.0,0.004,0,674.0999755859375,1570000,1570.0
158,reacher,easy,4.0,0.004,0,760.0,1580000,1580.0
159,reacher,easy,4.0,0.004,0,952.4000244140625,1590000,1590.0
160,reacher,easy,4.0,0.004,0,810.7999877929688,1600000,1600.0
161,reacher,easy,4.0,0.004,0,703.0999755859375,1610000,1610.0
162,reacher,easy,4.0,0.004,0,953.7999877929688,1620000,1620.0
163,reacher,easy,4.0,0.004,0,961.2000122070312,1630000,1630.0
164,reacher,easy,4.0,0.004,0,816.9000244140625,1640000,1640.0
165,reacher,easy,4.0,0.004,0,805.7999877929688,1650000,1650.0
166,reacher,easy,4.0,0.004,0,875.4000244140625,1660000,1660.0
167,reacher,easy,4.0,0.004,0,859.4000244140625,1670000,1670.0
168,reacher,easy,4.0,0.004,0,789.9000244140625,1680000,1680.0
169,reacher,easy,4.0,0.004,0,951.9000244140625,1690000,1690.0
170,reacher,easy,4.0,0.004,0,789.7999877929688,1700000,1700.0
171,reacher,easy,4.0,0.004,0,970.0,1710000,1710.0
172,reacher,easy,4.0,0.004,0,842.0999755859375,1720000,1720.0
173,reacher,easy,4.0,0.004,0,976.2000122070312,1730000,1730.0
174,reacher,easy,4.0,0.004,0,955.7000122070312,1740000,1740.0
175,reacher,easy,4.0,0.004,0,847.2999877929688,1750000,1750.0
176,reacher,easy,4.0,0.004,0,866.2999877929688,1760000,1760.0
177,reacher,easy,4.0,0.004,0,884.0999755859375,1770000,1770.0
178,reacher,easy,4.0,0.004,0,935.2000122070312,1780000,1780.0
179,reacher,easy,4.0,0.004,0,966.7999877929688,1790000,1790.0
180,reacher,easy,4.0,0.004,0,935.4000244140625,1800000,1800.0
181,reacher,easy,4.0,0.004,0,831.7999877929688,1810000,1810.0
182,reacher,easy,4.0,0.004,0,736.5999755859375,1820000,1820.0
183,reacher,easy,4.0,0.004,0,948.7000122070312,1830000,1830.0
184,reacher,easy,4.0,0.004,0,904.7000122070312,1840000,1840.0
185,reacher,easy,4.0,0.004,0,914.5,1850000,1850.0
186,reacher,easy,4.0,0.004,0,872.0,1860000,1860.0
187,reacher,easy,4.0,0.004,0,946.7000122070312,1870000,1870.0
188,reacher,easy,4.0,0.004,0,702.4000244140625,1880000,1880.0
189,reacher,easy,4.0,0.004,0,965.2000122070312,1890000,1890.0
190,reacher,easy,4.0,0.004,0,967.5999755859375,1900000,1900.0
191,reacher,easy,4.0,0.004,0,666.2999877929688,1910000,1910.0
192,reacher,easy,4.0,0.004,0,815.4000244140625,1920000,1920.0
193,reacher,easy,4.0,0.004,0,936.0999755859375,1930000,1930.0
194,reacher,easy,4.0,0.004,0,808.9000244140625,1940000,1940.0
195,reacher,easy,4.0,0.004,0,950.0999755859375,1950000,1950.0
196,reacher,easy,4.0,0.004,0,857.5999755859375,1960000,1960.0
197,reacher,easy,4.0,0.004,0,969.4000244140625,1970000,1970.0
198,reacher,easy,4.0,0.004,0,793.7000122070312,1980000,1980.0
