,AverageReturnEvalPolicy,OriginalEnvironmentSteps,NumberOfEpisodes
0,1.399999976158142,0,0
1,0.0,10000,10
2,95.30000305175781,20000,20
3,12.300000190734863,30000,30
4,0.0,40000,40
5,296.0,50000,50
6,798.9000244140625,60000,60
7,668.2999877929688,70000,70
8,732.5,80000,80
9,198.6999969482422,90000,90
10,198.5,100000,100
11,771.9000244140625,110000,110
12,923.4000244140625,120000,120
13,709.5999755859375,130000,130
14,919.0,140000,140
15,925.2999877929688,150000,150
16,924.5,160000,160
17,963.5,170000,170
18,957.7000122070312,180000,180
19,717.2999877929688,190000,190
20,965.0999755859375,200000,200
21,965.2999877929688,210000,210
22,957.2000122070312,220000,220
23,964.7999877929688,230000,230
24,966.7000122070312,240000,240
25,962.2999877929688,250000,250
26,967.5,260000,260
27,955.5999755859375,270000,270
28,197.8000030517578,280000,280
29,957.5,290000,290
30,962.2999877929688,300000,300
31,950.0,310000,310
32,958.7999877929688,320000,320
33,965.0,330000,330
34,944.5,340000,340
35,960.9000244140625,350000,350
36,962.5,360000,360
37,98.9000015258789,370000,370
38,957.0999755859375,380000,380
39,963.4000244140625,390000,390
40,952.7000122070312,400000,400
41,970.0,410000,410
42,948.7000122070312,420000,420
43,956.0999755859375,430000,430
44,99.4000015258789,440000,440
45,955.2999877929688,450000,450
46,962.9000244140625,460000,460
47,960.5,470000,470
48,970.7999877929688,480000,480
49,967.5999755859375,490000,490
50,0.0,500000,500
51,962.5999755859375,510000,510
52,963.2000122070312,520000,520
53,953.2000122070312,530000,530
54,970.7999877929688,540000,540
55,967.2999877929688,550000,550
56,951.2000122070312,560000,560
57,965.2999877929688,570000,570
58,928.0,580000,580
59,957.4000244140625,590000,590
60,966.5999755859375,600000,600
61,969.0999755859375,610000,610
62,955.7999877929688,620000,620
63,492.1000061035156,630000,630
64,973.5999755859375,640000,640
65,962.7999877929688,650000,650
66,962.2999877929688,660000,660
67,970.9000244140625,670000,670
68,955.9000244140625,680000,680
69,961.0999755859375,690000,690
70,967.0999755859375,700000,700
71,0.0,710000,710
72,912.2999877929688,720000,720
73,954.2000122070312,730000,730
74,964.2999877929688,740000,740
75,963.7000122070312,750000,750
76,965.2999877929688,760000,760
77,968.5999755859375,770000,770
78,965.4000244140625,780000,780
79,957.2000122070312,790000,790
80,964.5,800000,800
81,978.0,810000,810
82,296.1000061035156,820000,820
83,956.2000122070312,830000,830
84,198.1999969482422,840000,840
85,926.5999755859375,850000,850
86,959.0999755859375,860000,860
87,963.7999877929688,870000,870
88,967.0999755859375,880000,880
89,974.2000122070312,890000,890
90,966.9000244140625,900000,900
91,936.9000244140625,910000,910
92,954.2000122070312,920000,920
93,961.7000122070312,930000,930
94,964.7000122070312,940000,940
95,965.7000122070312,950000,950
96,969.2999877929688,960000,960
97,970.2000122070312,970000,970
98,966.5999755859375,980000,980
99,971.7999877929688,990000,990
100,969.2000122070312,1000000,1000
101,970.0999755859375,1010000,1010
102,974.7000122070312,1020000,1020
103,971.5,1030000,1030
104,963.0999755859375,1040000,1040
105,969.0,1050000,1050
106,972.7000122070312,1060000,1060
107,968.7999877929688,1070000,1070
108,959.0999755859375,1080000,1080
109,972.7999877929688,1090000,1090
110,958.7999877929688,1100000,1100
111,967.9000244140625,1110000,1110
112,969.2999877929688,1120000,1120
113,292.6000061035156,1130000,1130
114,972.4000244140625,1140000,1140
115,966.7000122070312,1150000,1150
116,963.0,1160000,1160
117,963.2999877929688,1170000,1170
118,967.2000122070312,1180000,1180
119,966.2000122070312,1190000,1190
120,976.0,1200000,1200
121,969.9000244140625,1210000,1210
122,967.0999755859375,1220000,1220
123,963.2999877929688,1230000,1230
124,970.7999877929688,1240000,1240
125,871.5999755859375,1250000,1250
126,969.0999755859375,1260000,1260
127,969.9000244140625,1270000,1270
128,953.0999755859375,1280000,1280
129,943.0999755859375,1290000,1290
130,984.0,1300000,1300
131,974.5999755859375,1310000,1310
132,976.2999877929688,1320000,1320
133,968.5999755859375,1330000,1330
134,968.4000244140625,1340000,1340
135,973.7000122070312,1350000,1350
136,968.7000122070312,1360000,1360
137,864.0,1370000,1370
138,966.5,1380000,1380
139,972.2000122070312,1390000,1390
140,978.5999755859375,1400000,1400
141,977.7000122070312,1410000,1410
142,963.4000244140625,1420000,1420
143,966.7000122070312,1430000,1430
144,961.7000122070312,1440000,1440
145,946.9000244140625,1450000,1450
146,971.7999877929688,1460000,1460
147,975.0,1470000,1470
148,965.7999877929688,1480000,1480
149,974.9000244140625,1490000,1490
150,971.7000122070312,1500000,1500
151,0.0,1510000,1510
152,938.0999755859375,1520000,1520
153,958.9000244140625,1530000,1530
154,965.7000122070312,1540000,1540
155,953.9000244140625,1550000,1550
156,963.4000244140625,1560000,1560
157,184.0,1570000,1570
158,909.0999755859375,1580000,1580
159,965.4000244140625,1590000,1590
160,968.5,1600000,1600
161,971.9000244140625,1610000,1610
162,968.2999877929688,1620000,1620
163,723.2999877929688,1630000,1630
164,971.7999877929688,1640000,1640
165,964.9000244140625,1650000,1650
166,977.5999755859375,1660000,1660
167,954.9000244140625,1670000,1670
168,959.9000244140625,1680000,1680
169,973.5999755859375,1690000,1690
170,968.0999755859375,1700000,1700
171,972.9000244140625,1710000,1710
172,976.0,1720000,1720
173,969.4000244140625,1730000,1730
174,396.6000061035156,1740000,1740
175,963.5,1750000,1750
176,970.5999755859375,1760000,1760
177,974.4000244140625,1770000,1770
178,979.5999755859375,1780000,1780
179,971.5999755859375,1790000,1790
180,197.60000610351562,1800000,1800
181,933.7999877929688,1810000,1810
182,967.7000122070312,1820000,1820
183,973.2999877929688,1830000,1830
184,973.0,1840000,1840
185,977.4000244140625,1850000,1850
186,971.4000244140625,1860000,1860
187,979.0999755859375,1870000,1870
188,972.7999877929688,1880000,1880
189,971.5999755859375,1890000,1890
190,966.0999755859375,1900000,1900
191,972.5999755859375,1910000,1910
192,0.0,1920000,1920
193,963.2999877929688,1930000,1930
194,973.0999755859375,1940000,1940
195,976.7999877929688,1950000,1950
196,980.2999877929688,1960000,1960
197,976.2000122070312,1970000,1970
198,917.5,1980000,1980
199,969.7000122070312,1990000,1990
200,962.7999877929688,2000000,2000
